checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,18,12.0,-6.0,21.04693603515625,13.370170593261719,-7.676765441894531,1.3701705932617188,-1.6767654418945312,0.4334164261817932,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,18.0,0.0,21.04693603515625,18.009700775146484,-3.0372352600097656,0.009700775146484375,-3.0372352600097656,0.508582353591919,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,28.0,10.0,21.04693603515625,27.684940338134766,6.638004302978516,-0.3150596618652344,-3.3619956970214844,0.4891916513442993,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,30.0,12.0,21.04693603515625,32.3392448425293,11.292308807373047,2.339244842529297,-0.7076911926269531,0.4356665015220642,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,45.0,27.0,21.04693603515625,51.795082092285156,30.748146057128906,6.795082092285156,3.7481460571289062,0.3764221966266632,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,55.0,37.0,21.04693603515625,63.84852600097656,42.80158996582031,8.848526000976562,5.8015899658203125,0.3381388783454895,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,65.0,47.0,21.04693603515625,69.97832489013672,48.93138885498047,4.978324890136719,1.9313888549804688,0.3177706301212311,direct,0.3,30,7.0,source_age,2.0,1.5,2026
