checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,41,9.0,-32.0,48.525062561035156,27.257423400878906,-21.26763916015625,18.257423400878906,10.73236083984375,0.6025444269180298,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,15.0,-26.0,48.525062561035156,28.73828887939453,-19.786773681640625,13.738288879394531,6.213226318359375,0.6281805038452148,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,25.0,-16.0,48.525062561035156,36.649513244628906,-11.87554931640625,11.649513244628906,4.12445068359375,0.6344061493873596,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,35.0,-6.0,48.525062561035156,47.36863708496094,-1.1564254760742188,12.368637084960938,4.843574523925781,0.6542969346046448,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,45.0,4.0,48.525062561035156,55.37989807128906,6.854835510253906,10.379898071289062,2.8548355102539062,0.6241933703422546,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,65.0,24.0,48.525062561035156,62.04569625854492,13.520633697509766,-2.954303741455078,-10.479366302490234,0.5882129669189453,direct,0.2,39,7.0,source_age,2.0,1.5,2026
