checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,18,12.0,-6.0,21.04693603515625,12.999256134033203,-8.047679901123047,0.9992561340332031,-2.047679901123047,0.4190038740634918,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,18.0,0.0,21.04693603515625,18.00137710571289,-3.0455589294433594,0.001377105712890625,-3.0455589294433594,0.4722413420677185,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,28.0,10.0,21.04693603515625,29.062870025634766,8.015933990478516,1.0628700256347656,-1.9840660095214844,0.4340794086456299,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,30.0,12.0,21.04693603515625,33.893829345703125,12.846893310546875,3.893829345703125,0.846893310546875,0.3714102506637573,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,45.0,27.0,21.04693603515625,54.389190673828125,33.342254638671875,9.389190673828125,6.342254638671875,0.32539695501327515,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,55.0,37.0,21.04693603515625,66.5130615234375,45.46612548828125,11.5130615234375,8.46612548828125,0.29806727170944214,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,65.0,47.0,21.04693603515625,73.37399291992188,52.327056884765625,8.373992919921875,5.327056884765625,0.2726229727268219,direct,0.35,30,7.0,source_age,2.0,1.5,2026
