checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,18,12.0,-6.0,21.04693603515625,10.354923248291016,-10.692012786865234,-1.6450767517089844,-4.692012786865234,0.29024970531463623,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,18.0,0.0,21.04693603515625,16.63751220703125,-4.409423828125,-1.36248779296875,-4.409423828125,0.24322697520256042,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,28.0,10.0,21.04693603515625,30.644241333007812,9.597305297851562,2.6442413330078125,-0.4026947021484375,0.21509361267089844,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,30.0,12.0,21.04693603515625,36.57832336425781,15.531387329101562,6.5783233642578125,3.5313873291015625,0.18624570965766907,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,45.0,27.0,21.04693603515625,67.8147201538086,46.767784118652344,22.814720153808594,19.767784118652344,0.15684694051742554,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,55.0,37.0,21.04693603515625,75.05907440185547,54.01213836669922,20.05907440185547,17.01213836669922,0.15492627024650574,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,65.0,47.0,21.04693603515625,82.97953033447266,61.932594299316406,17.979530334472656,14.932594299316406,0.1748228669166565,direct,0.5,30,7.0,source_age,2.0,1.5,2026
