checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,21,9.0,-12.0,21.269508361816406,21.266155242919922,-0.003353118896484375,12.266155242919922,11.996646881103516,0.34464263916015625,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,12.0,-9.0,21.269508361816406,24.157318115234375,2.8878097534179688,12.157318115234375,11.887809753417969,0.3571275770664215,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,18.0,-3.0,21.269508361816406,28.21212387084961,6.942615509033203,10.21212387084961,9.942615509033203,0.4197635054588318,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,28.0,7.0,21.269508361816406,42.425575256347656,21.15606689453125,14.425575256347656,14.15606689453125,0.3925785720348358,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,30.0,9.0,21.269508361816406,46.77011489868164,25.500606536865234,16.77011489868164,16.500606536865234,0.39060795307159424,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,55.0,34.0,21.269508361816406,62.556392669677734,41.28688430786133,7.556392669677734,7.286884307861328,0.2595834732055664,direct,0.35,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,21,65.0,44.0,21.269508361816406,65.4893798828125,44.219871520996094,0.4893798828125,0.21987152099609375,0.23648855090141296,direct,0.35,30,7.0,source_age,2.0,1.5,2026
