checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,25,9.0,-16.0,22.116958618164062,11.486682891845703,-10.63027572631836,2.486682891845703,5.369724273681641,0.6218596696853638,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,25,15.0,-10.0,22.116958618164062,18.316444396972656,-3.8005142211914062,3.3164443969726562,6.199485778808594,0.7157325744628906,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,25,25.0,0.0,22.116958618164062,26.813499450683594,4.696540832519531,1.8134994506835938,4.696540832519531,0.7159552574157715,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,25,40.0,15.0,22.116958618164062,37.59706115722656,15.4801025390625,-2.4029388427734375,0.4801025390625,0.6292761564254761,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,25,55.0,30.0,22.116958618164062,49.45806121826172,27.341102600097656,-5.541938781738281,-2.6588973999023438,0.5596655607223511,direct,0.2,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,25,65.0,40.0,22.116958618164062,54.74026107788086,32.6233024597168,-10.25973892211914,-7.376697540283203,0.5652068853378296,direct,0.2,39,7.0,source_age,2.0,1.5,2026
