checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,26,9.0,-17.0,26.972152709960938,10.697864532470703,-16.274288177490234,1.6978645324707031,0.7257118225097656,0.4787819981575012,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,18.0,-8.0,26.972152709960938,24.484012603759766,-2.488140106201172,6.484012603759766,5.511859893798828,0.5843698978424072,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,24.0,-2.0,26.972152709960938,31.173124313354492,4.200971603393555,7.173124313354492,6.200971603393555,0.5887103080749512,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,26.0,0.0,26.972152709960938,33.32198715209961,6.349834442138672,7.321987152099609,6.349834442138672,0.5826305150985718,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,40.0,14.0,26.972152709960938,44.12274932861328,17.150596618652344,4.122749328613281,3.1505966186523438,0.5028302669525146,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,55.0,29.0,26.972152709960938,50.98818588256836,24.016033172607422,-4.011814117431641,-4.983966827392578,0.4591163396835327,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,65.0,39.0,26.972152709960938,54.48859786987305,27.51644515991211,-10.511402130126953,-11.48355484008789,0.4550256133079529,direct,0.2,30,7.0,source_age,2.0,1.5,2026
