checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,26,9.0,-17.0,26.972152709960938,10.500701904296875,-16.471450805664062,1.500701904296875,0.5285491943359375,0.4688626229763031,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,18.0,-8.0,26.972152709960938,24.804065704345703,-2.1680870056152344,6.804065704345703,5.831912994384766,0.5729347467422485,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,24.0,-2.0,26.972152709960938,31.730728149414062,4.758575439453125,7.7307281494140625,6.758575439453125,0.5745545029640198,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,26.0,0.0,26.972152709960938,33.90376281738281,6.931610107421875,7.9037628173828125,6.931610107421875,0.568131685256958,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,40.0,14.0,26.972152709960938,45.48637771606445,18.514225006103516,5.486377716064453,4.514225006103516,0.4794681668281555,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,55.0,29.0,26.972152709960938,52.468109130859375,25.495956420898438,-2.531890869140625,-3.5040435791015625,0.4394160509109497,direct,0.2,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,65.0,39.0,26.972152709960938,56.394309997558594,29.422157287597656,-8.605690002441406,-9.577842712402344,0.4359055161476135,direct,0.2,50,7.0,source_age,2.0,1.5,2026
