checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,26,9.0,-17.0,26.972152709960938,6.7572174072265625,-20.214935302734375,-2.2427825927734375,-3.214935302734375,0.2003401815891266,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,18.0,-8.0,26.972152709960938,20.318897247314453,-6.653255462646484,2.318897247314453,1.3467445373535156,0.3508351445198059,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,24.0,-2.0,26.972152709960938,31.45919418334961,4.487041473388672,7.459194183349609,6.487041473388672,0.39067602157592773,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,26.0,0.0,26.972152709960938,36.026161193847656,9.054008483886719,10.026161193847656,9.054008483886719,0.36508265137672424,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,40.0,14.0,26.972152709960938,56.9612922668457,29.989139556884766,16.961292266845703,15.989139556884766,0.2172490507364273,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,55.0,29.0,26.972152709960938,68.07695007324219,41.10479736328125,13.076950073242188,12.10479736328125,0.1543426513671875,direct,0.5,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,65.0,39.0,26.972152709960938,73.2152328491211,46.243080139160156,8.215232849121094,7.243080139160156,0.13786669075489044,direct,0.5,30,7.0,source_age,2.0,1.5,2026
