checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,26,9.0,-17.0,26.972152709960938,8.568832397460938,-18.4033203125,-0.4311676025390625,-1.4033203125,0.36042726039886475,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,18.0,-8.0,26.972152709960938,22.327713012695312,-4.644439697265625,4.3277130126953125,3.355560302734375,0.4970040023326874,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,24.0,-2.0,26.972152709960938,31.62494659423828,4.652793884277344,7.624946594238281,6.652793884277344,0.5153108835220337,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,26.0,0.0,26.972152709960938,34.741302490234375,7.7691497802734375,8.741302490234375,7.7691497802734375,0.5037747621536255,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,40.0,14.0,26.972152709960938,49.7346076965332,22.762454986572266,9.734607696533203,8.762454986572266,0.37500157952308655,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,55.0,29.0,26.972152709960938,58.9293098449707,31.957157135009766,3.929309844970703,2.9571571350097656,0.3176669776439667,direct,0.3,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,65.0,39.0,26.972152709960938,63.700992584228516,36.72883987426758,-1.2990074157714844,-2.271160125732422,0.30347803235054016,direct,0.3,30,7.0,source_age,2.0,1.5,2026
