checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,41,9.0,-32.0,48.525062561035156,9.367610931396484,-39.15745162963867,0.3676109313964844,-7.157451629638672,0.12217401713132858,direct,0.5,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,15.0,-26.0,48.525062561035156,15.207286834716797,-33.31777572631836,0.20728683471679688,-7.317775726318359,0.16524776816368103,direct,0.5,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,25.0,-16.0,48.525062561035156,28.781402587890625,-19.74365997314453,3.781402587890625,-3.7436599731445312,0.31434476375579834,direct,0.5,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,35.0,-6.0,48.525062561035156,46.961856842041016,-1.5632057189941406,11.961856842041016,4.436794281005859,0.38928309082984924,direct,0.5,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,45.0,4.0,48.525062561035156,66.65635681152344,18.13129425048828,21.656356811523438,14.131294250488281,0.2851162850856781,direct,0.5,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,41,65.0,24.0,48.525062561035156,74.84941101074219,26.32434844970703,9.849411010742188,2.3243484497070312,0.1304488182067871,direct,0.5,39,7.0,source_age,2.0,1.5,2026
