epoch,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,text_reference_mode,age_guidance_scale,seed,age_calibration_intercept,age_calibration_slope,age_calibration_r2,age_calibration_score,forward_calibration_intercept,forward_calibration_slope,forward_calibration_r2,reverse_calibration_intercept,reverse_calibration_slope,reverse_calibration_r2,forward_mae,forward_bias,reverse_mae,reverse_bias
10,26,12.0,-14.0,26.971912384033203,10.839344024658203,-16.132568359375,-1.1606559753417969,-2.132568359375,0.3689958453178406,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,18.0,-8.0,26.971912384033203,21.66646957397461,-5.305442810058594,3.6664695739746094,2.6945571899414062,0.47392237186431885,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,20.0,-6.0,26.971912384033203,26.804676055908203,-0.167236328125,6.804676055908203,5.832763671875,0.4903483986854553,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,26.0,0.0,26.971912384033203,35.72620391845703,8.754291534423828,9.726203918457031,8.754291534423828,0.4743219316005707,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,27.0,1.0,26.971912384033203,36.641197204589844,9.66928482055664,9.641197204589844,8.66928482055664,0.4664156138896942,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,30.0,4.0,26.971912384033203,44.14966583251953,17.177753448486328,14.149665832519531,13.177753448486328,0.4175814688205719,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,35.0,9.0,26.971912384033203,49.175846099853516,22.203933715820312,14.175846099853516,13.203933715820312,0.37251824140548706,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,40.0,14.0,26.971912384033203,51.810298919677734,24.83838653564453,11.810298919677734,10.838386535644531,0.3382112383842468,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,50.0,24.0,26.971912384033203,59.04351806640625,32.07160568237305,9.04351806640625,8.071605682373047,0.29288893938064575,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
10,26,65.0,39.0,26.971912384033203,67.06155395507812,40.08964157104492,2.061553955078125,1.0896415710449219,0.26351112127304077,direct,0.35,source_age,2.0,2026,6.747033402667931,1.0433224727636778,0.914745314599823,7.1802581303047095,13.177698322494267,0.7360924817468151,0.9456707395651209,11.012773367074825,1.9515559856708236,0.9939067474923049,9.175100962320963,9.175100962320963,3.5532964070638022,2.1315841674804688
