checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,18,9.0,-9.0,24.468238830566406,13.351131439208984,-11.117107391357422,4.351131439208984,-2.117107391357422,0.3828794062137604,direct,0.35,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,18.0,0.0,24.468238830566406,24.322036743164062,-0.14620208740234375,6.3220367431640625,-0.14620208740234375,0.48168960213661194,direct,0.35,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,35.0,17.0,24.468238830566406,48.91675567626953,24.448516845703125,13.916755676269531,7.448516845703125,0.1942402869462967,direct,0.35,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,40.0,22.0,24.468238830566406,50.963706970214844,26.495468139648438,10.963706970214844,4.4954681396484375,0.26049619913101196,direct,0.35,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,55.0,37.0,24.468238830566406,61.383907318115234,36.91566848754883,6.383907318115234,-0.08433151245117188,0.1650809943675995,direct,0.35,39,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,65.0,47.0,24.468238830566406,64.96324157714844,40.49500274658203,-0.0367584228515625,-6.504997253417969,0.16037064790725708,direct,0.35,39,7.0,source_age,2.0,1.5,2026
