checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,18,12.0,-6.0,21.04693603515625,14.797321319580078,-6.249614715576172,2.797321319580078,-0.24961471557617188,0.5510019063949585,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,18.0,0.0,21.04693603515625,18.08228302001953,-2.9646530151367188,0.08228302001953125,-2.9646530151367188,0.6381027698516846,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,28.0,10.0,21.04693603515625,23.929012298583984,2.8820762634277344,-4.070987701416016,-7.117923736572266,0.6538378000259399,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,30.0,12.0,21.04693603515625,26.67755126953125,5.630615234375,-3.32244873046875,-6.369384765625,0.6284738779067993,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,45.0,27.0,21.04693603515625,40.68452453613281,19.637588500976562,-4.3154754638671875,-7.3624114990234375,0.588889479637146,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,55.0,37.0,21.04693603515625,49.119781494140625,28.072845458984375,-5.880218505859375,-8.927154541015625,0.5553194284439087,direct,0.2,30,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,18,65.0,47.0,21.04693603515625,56.11391067504883,35.06697463989258,-8.886089324951172,-11.933025360107422,0.5267593264579773,direct,0.2,30,7.0,source_age,2.0,1.5,2026
