checkpoint,source_age,target_age,target_delta_age,predicted_source_age,predicted_generated_age,predicted_delta_age,age_error,delta_age_error,identity_cosine,mode,strength,num_inference_steps,text_guidance_scale,text_reference_mode,age_guidance_scale,image_guidance_scale,seed
/content/adapter_inference.pt,26,9.0,-17.0,26.972152709960938,8.360847473144531,-18.611305236816406,-0.6391525268554688,-1.6113052368164062,0.3563140630722046,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,18.0,-8.0,26.972152709960938,22.466670989990234,-4.505481719970703,4.466670989990234,3.494518280029297,0.4912911355495453,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,24.0,-2.0,26.972152709960938,32.733097076416016,5.760944366455078,8.733097076416016,7.760944366455078,0.4961966574192047,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,26.0,0.0,26.972152709960938,35.81623840332031,8.844085693359375,9.816238403320312,8.844085693359375,0.4843907654285431,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,40.0,14.0,26.972152709960938,51.112403869628906,24.14025115966797,11.112403869628906,10.140251159667969,0.3591245412826538,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,55.0,29.0,26.972152709960938,60.744834899902344,33.772682189941406,5.744834899902344,4.772682189941406,0.3040366768836975,direct,0.3,50,7.0,source_age,2.0,1.5,2026
/content/adapter_inference.pt,26,65.0,39.0,26.972152709960938,65.62480926513672,38.65265655517578,0.6248092651367188,-0.34734344482421875,0.29443424940109253,direct,0.3,50,7.0,source_age,2.0,1.5,2026
